2026-05-31 12:55:23 | INFO     | bot                    | ============================================================
2026-05-31 12:55:23 | INFO     | bot                    | NexusTrade Bot Starting
2026-05-31 12:55:23 | INFO     | bot                    | Mode: DEMO
2026-05-31 12:55:23 | INFO     | bot                    | Markets: R_100, R_75, R_50, R_25
2026-05-31 12:55:23 | INFO     | bot                    | ============================================================
2026-05-31 12:55:23 | INFO     | db.trade_logger        | Database initialized: data/nexustrade.db
2026-05-31 12:55:23 | INFO     | core.deriv_client      | Connecting to Deriv API (DEMO)...
2026-05-31 12:55:24 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 12:55:24 | WARNING  | bot                    | API disconnected — awaiting reconnect
2026-05-31 12:55:24 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 12:55:26 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 12:55:26 | WARNING  | bot                    | API disconnected — awaiting reconnect
2026-05-31 12:55:26 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 12:55:29 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 12:55:29 | WARNING  | bot                    | API disconnected — awaiting reconnect
2026-05-31 12:55:29 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 12:55:31 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 12:55:31 | WARNING  | bot                    | API disconnected — awaiting reconnect
2026-05-31 12:55:31 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 12:55:33 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 12:55:33 | WARNING  | bot                    | API disconnected — awaiting reconnect
2026-05-31 12:55:33 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 12:55:35 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 12:55:35 | WARNING  | bot                    | API disconnected — awaiting reconnect
2026-05-31 12:55:35 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 12:55:42 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 12:55:42 | WARNING  | bot                    | API disconnected — awaiting reconnect
2026-05-31 12:55:42 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 12:55:44 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 12:55:44 | WARNING  | bot                    | API disconnected — awaiting reconnect
2026-05-31 12:55:44 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 12:55:47 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 12:55:47 | WARNING  | bot                    | API disconnected — awaiting reconnect
2026-05-31 12:55:47 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
